,Track ID,Track Name,Track Added At,Track Popularity,Track Duration,Available Markets,Album,Album Type,Artist,Release Date,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Speechiness,Valence,Tempo
18,1M4qEo4HE3PRaCOM7EXNJq,Adore You,2020-01-29T19:04:50Z,90,207133,79,Adore You,single,|Harry Styles,2019-12-06,8.0,1.0,4.0,0.0237,0.676,0.771,7e-06,0.102,-3.675,0.0483,0.569,99.048,0.0483,0.569,99.048
19,7ce20yLkzuXXLUhzIDoZih,Before You Go,2020-01-29T19:04:50Z,90,215106,79,Before You Go,single,|Lewis Capaldi,2019-11-19,3.0,1.0,4.0,0.604,0.459,0.575,0.0,0.0885,-4.858,0.0573,0.183,111.881,0.0573,0.183,111.881
20,18ssFhD04lWo1RzpcohnrG,Anyone,2020-01-29T19:04:50Z,68,227813,79,Anyone,single,|Demi Lovato,2020-01-27,11.0,1.0,5.0,0.873,0.543,0.392,0.0,0.111,-6.29,0.0378,0.305,86.687,0.0378,0.305,86.687
21,4VginDwYTP2eaHJzO0QMjG,Circles,2020-01-29T19:04:50Z,46,214906,0,Circles,single,|Post Malone,2019-08-30,0.0,1.0,4.0,0.233,0.704,0.758,0.00144,0.0924,-3.537,0.0402,0.534,120.003,0.0402,0.534,120.003
22,1ToprX3cpBiXoAe5eNSk74,Eleven,2020-01-29T19:04:50Z,86,206360,79,Eleven,single,|Khalid,2020-01-09,4.0,0.0,4.0,0.112,0.701,0.396,0.0209,0.223,-10.182,0.119,0.115,129.004,0.119,0.115,129.004
23,3cqPu20DGTGUoZtbJH2Dmi,What If I Told You That I Love You,2020-01-29T19:04:50Z,77,193667,57,What If I Told You That I Love You,single,|Ali Gatie,2020-01-24,7.0,1.0,4.0,0.63,0.605,0.365,6.83e-06,0.0554,-11.144,0.111,0.224,84.628,0.111,0.224,84.628
24,3o1CUVeHIid49sabk6A6Nf,Forever Yours - Avicii Tribute,2020-01-29T19:04:50Z,76,193846,79,Forever Yours (Avicii Tribute),single,|Kygo|Avicii|Sandro Cavazza,2020-01-24,10.0,1.0,4.0,0.253,0.529,0.612,0.0,0.246,-8.794,0.052,0.434,119.272,0.052,0.434,119.272
25,4yJiXq86uM56uIfIZgE440,me & ur ghost,2020-01-29T19:04:50Z,81,200400,79,me & ur ghost,single,|blackbear,2020-01-16,7.0,1.0,4.0,0.0696,0.761,0.625,0.0,0.0784,-6.17,0.026,0.875,100.022,0.026,0.875,100.022
26,7k4t7uLgtOxPwTpFmtJNTY,Tusa,2020-01-29T19:04:50Z,99,200960,79,Tusa,single,|KAROL G|Nicki Minaj,2019-11-07,2.0,1.0,4.0,0.295,0.803,0.715,0.000134,0.0574,-3.28,0.298,0.574,101.085,0.298,0.574,101.085
27,1HfMVBKM75vxSfsQ5VefZ5,Lose You To Love Me,2020-01-29T19:04:50Z,90,206458,0,Lose You To Love Me,single,|Selena Gomez,2019-10-23,4.0,1.0,4.0,0.576,0.505,0.34,0.0,0.21,-9.005,0.0438,0.0916,101.993,0.0438,0.0916,101.993
28,1e9oZCCiX42nJl0AcqriVo,Watermelon Sugar,2020-01-29T19:04:50Z,89,174000,79,Watermelon Sugar,single,|Harry Styles,2019-11-17,0.0,1.0,4.0,0.122,0.548,0.816,0.0,0.335,-4.209,0.0465,0.557,95.39,0.0465,0.557,95.39
29,0JQ5MbyriK6ruD3t6RZ7ix,Never Seen The Rain,2020-01-29T19:04:50Z,85,200742,76,The Kids Are Coming,single,|Tones and I,2019-08-29,6.0,0.0,4.0,0.43,0.672,0.464,0.0,0.284,-5.624,0.037,0.271,92.069,0.037,0.271,92.069
30,2kJwzbxV2ppxnQoYw4GLBZ,If The World Was Ending (feat. Julia Michaels),2020-01-29T19:04:50Z,89,208687,78,If The World Was Ending (feat. Julia Michaels),single,|JP Saxe|Julia Michaels,2019-10-17,1.0,1.0,4.0,0.866,0.464,0.473,0.0,0.109,-10.086,0.129,0.604,75.801,0.129,0.604,75.801
31,6U0FIYXCQ3TGrk4tFpLrEA,SUGAR,2020-01-29T19:04:50Z,90,204533,79,GINGER,album,|BROCKHAMPTON,2019-08-23,1.0,1.0,4.0,0.449,0.453,0.538,0.0,0.19,-8.212,0.0638,0.516,122.973,0.0638,0.516,122.973
32,7h0d2h0fUmzbs7zeFigJPn,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,2020-01-29T19:04:50Z,89,244873,79,JACKBOYS,album,|Travis Scott|ROSALÍA|Lil Baby,2019-12-27,2.0,0.0,4.0,0.0567,0.559,0.491,0.0,0.0992,-6.406,0.0346,0.114,153.131,0.0346,0.114,153.131
33,24Yi9hE78yPEbZ4kxyoXAI,Roses - Imanbek Remix,2020-01-29T19:04:50Z,88,176840,70,Roses (Imanbek Remix),single,|SAINt JHN|Imanbek,2019-10-09,8.0,1.0,4.0,0.0167,0.77,0.724,0.0105,0.353,-5.484,0.0495,0.898,121.974,0.0495,0.898,121.974
34,24NuEDgyRIljwSyY0lsr7b,Black Swan,2020-01-29T19:04:50Z,88,198260,79,Black Swan,single,|BTS,2020-01-17,2.0,0.0,4.0,0.137,0.719,0.758,0.0,0.129,-5.167,0.0851,0.49,147.023,0.0851,0.49,147.023
35,4k3uABcX9iaGlt5pRJhumi,stupid,2020-01-29T19:04:50Z,81,172915,79,stupid,single,|Tate McRae,2019-12-06,0.0,0.0,4.0,0.0692,0.673,0.579,8.61e-05,0.186,-6.029,0.0392,0.262,96.009,0.0392,0.262,96.009
36,2b8fOow8UzyDFAE27YhOZM,Memories,2020-01-29T19:04:50Z,97,189486,79,Memories,single,|Maroon 5,2019-09-20,11.0,1.0,4.0,0.837,0.764,0.32,0.0,0.0822,-7.209,0.0546,0.575,91.019,0.0546,0.575,91.019
37,1Cv1YLb4q0RzL6pybtaMLo,Sunday Best,2020-01-29T19:04:50Z,84,158571,79,Where the Light Is,album,|Surfaces,2019-01-06,5.0,1.0,4.0,0.183,0.878,0.525,0.0,0.0714,-6.832,0.0578,0.694,112.022,0.0578,0.694,112.022
38,6lruHh1jF7ezgbLv72xYmf,FML,2020-01-29T19:04:50Z,84,223000,79,Living Facts,single,|Arizona Zervas,2018-06-03,5.0,1.0,4.0,0.113,0.822,0.575,0.0,0.106,-5.95,0.0934,0.616,100.087,0.0934,0.616,100.087
39,7CHi4DtfK4heMlQaudCuHK,Lose Control,2020-01-29T19:04:50Z,92,168387,79,Lose Control,single,|MEDUZA|Becky Hill|Goodboys,2019-10-11,10.0,0.0,4.0,0.129,0.598,0.526,0.0,0.14,-8.659,0.0415,0.529,123.935,0.0415,0.529,123.935
40,3QzAOrNlsabgbMwlZt7TAY,Ballin' (with Roddy Ricch),2020-01-29T19:04:50Z,91,180434,79,Perfect Ten,album,|Mustard|Roddy Ricch,2019-06-28,7.0,1.0,4.0,0.392,0.809,0.545,0.0,0.151,-6.678,0.0735,0.244,97.008,0.0735,0.244,97.008
41,20JtELGPfOAMq7FpUt8eSM,Yellow Hearts,2020-01-29T19:04:50Z,59,223255,0,Yellow Hearts,single,|Ant Saunders,2019-06-18,7.0,1.0,4.0,0.117,0.866,0.399,0.0,0.0689,-10.938,0.0745,0.713,129.047,0.0745,0.713,129.047
42,5a6pdCHlWS2ekOOQ70QnAr,July,2020-01-29T19:04:50Z,88,156106,79,July,single,|Noah Cyrus,2019-07-31,9.0,0.0,4.0,0.868,0.708,0.186,0.0,0.0779,-8.953,0.0422,0.321,72.541,0.0422,0.321,72.541
43,0bMbDctzMmTyK2j74j3nF3,"Alone, Pt. II",2020-01-29T19:04:50Z,86,179052,79,"Alone, Pt. II",single,|Alan Walker|Ava Max,2019-12-27,3.0,0.0,4.0,0.536,0.67,0.668,0.0,0.133,-4.306,0.0422,0.608,88.033,0.0422,0.608,88.033
